signal_date,buy_date,target_exit_date,actual_exit_date,exit_delay_days,ts_code,name,industry,stage,source_rank,d_close,buy_open,auction_vwap,auction_amount,auction_truth_source,exit_open,actual_buy_gap,gross_return,net_return,profit_hit,big_loss_hit,continuation_limit_up_hit,exit_on_time,market_fill,mechanism_limit_pct,fill_reason,exit_reason,exit_policy_version,take_profit_pct,stop_loss_pct,latest_exit_time,history_source,history_contract_version,prior_probability,strength_score,theme_boost,final_score,intraday_quality,intraday_risk,intraday_hard_risk,auction_strength,intraday_confidence,stage_quality,stage_risk,stage_prior,limit_times,open_board_count,reseal_score,late_withdraw,d_return,d_range,d_turnover_proxy,d_amount_log,limit_open_times,limit_first_time_minutes,limit_last_time_minutes,limit_fd_amount_log,limit_seal_to_amount,limit_seal_to_float_mv,d_turnover_rate,d_volume_ratio,d_float_mv_log,order_to_d_amount,order_to_float_mv,is_hot_board,board_rank,board_limit_up_count,d_amount_percentile,market_median_return,market_up_ratio,market_return_dispersion,market_equal_weight_return,market_down_ratio,market_strong_up_ratio,market_strong_down_ratio,market_limit_up_count_log,market_limit_down_count_log,market_limit_up_down_log_ratio,market_failed_limit_up_rate,market_reseal_rate,market_prev_limit_up_mean_return,market_prev_limit_up_positive_rate,market_prev_limit_up_open_gap_mean,market_focus_promotion_rate,market_limit_up_industry_concentration,market_limit_up_amount_top3_share,market_amount_ratio_5d,market_sentiment_score,market_sentiment_delta,market_sentiment_coverage,market_sentiment_acceleration,market_sentiment_regime_code,market_sentiment_regime_label,market_sentiment_breadth_score,market_sentiment_limit_ecology_score,market_sentiment_promotion_score,market_sentiment_profit_effect_score,market_sentiment_liquidity_score,market_eligible_stock_count,market_limit_up_count,market_limit_down_count,market_touched_up_count,market_failed_limit_up_count,market_reseal_count,market_prev_limit_up_sample,market_2_to_3_promotion_rate,market_2_to_3_promotion_samples,market_3_to_4_promotion_rate,market_3_to_4_promotion_samples,market_focus_promotion_samples,market_max_streak,relative_d_return,minute_available,minute_realized_vol,minute_first_30m_return,minute_last_30m_return,minute_vwap_deviation,minute_opening_volume_share,minute_closing_volume_share,minute_close_location,limit_ratio,proposed_gap,path_days_observed,path_data_coverage,path_strength_latest,path_strength_delta,path_gap_slope,path_first_seal_slope,path_open_times_slope,path_turnover_slope,path_amount_log_slope,path_seal_ratio_slope,path_one_price_ratio,path_weak_to_strong,path_strong_to_weak,path_acceleration_consensus,path_divergence_reseal,path_label_code,path_label,path_explanation,stage_pool_size,focus_pool_size,market_max_limit_times,same_industry_stage_count,stage_pool_share,stage_recent_promotion_rate,stage_recent_promotion_samples,backfill_generated_at_utc,diagnostic_gap,predicted_net_return,predicted_return_lcb,predicted_return_ucb,predicted_mean_return_lcb,predicted_mean_return_ucb,predicted_outcome_q10,predicted_outcome_q90,predicted_profit_probability,predicted_big_loss_probability,predicted_continuation_limit_up_probability,predicted_fill_probability,predicted_exit_probability,conservative_ev,selection_score,stage_focus,gate_policy_ready,gate_stage_focus,gate_exit_probability,gate_fill_probability,gate_big_loss_probability,gate_mean_return_lcb,gate_conservative_ev,gate_selection_score,risk_gate_pass,recommended_max_gap,selection_policy_version,policy_max_big_loss_probability,policy_min_mean_return_lcb,policy_min_fill_probability,policy_min_exit_probability,policy_min_conservative_ev,policy_min_selection_score,policy_max_positions,model_reason,shadow_rank,shadow_selected,selected,oos_train_end,oos_train_dates,oos_refit_index,oos_block_dates,cap_accepted,strategy_filled,strategy_weight,shadow_cap_accepted,shadow_market_filled,shadow_limit_filled,strategy_net_return,strategy_portfolio_return,shadow_market_net_return,shadow_limit_net_return,forecast_error,direction_success,within_prediction_interval
20250110,20250113,20250114,20250114,0,002571.SZ,德力股份,家用轻工,2→3,6.0,5.3,5.58,5.57,77451991.04,tushare_stk_auction_o,5.18,0.0528301886792452,-0.07168458781362,-0.07618458781362,0,1,0,1,1,10.0,market_proxy_buyable,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.0995850622406637,0.1224066390041493,0.0518672199170124,12.46225946109677,0.0,572.25,572.25,19.11500253938208,0.7749100385191339,0.1266490656908531,0.1685539999999999,2.93,21.18133781467763,0.0003870001779504,6.325019489137076e-05,,,,0.8117209302325581,-0.028758,0.0993488372093023,0.0685011582056298,-0.0249383012962377,0.8890294024660133,0.0183370218147328,0.1251975972178311,3.784189633918261,4.219507705176107,-0.4353180712578455,0.532608695652174,0.5277777777777778,-0.0179299662921348,0.3258426966292135,0.0126488073770986,0.1111111111111111,0.0462962962962962,0.3792251425948587,0.9781070946563464,0.2507857458608534,-0.3020045818044666,1.0,-0.2940110825883948,EBB,退潮,0.0963356736747813,0.3871504709606553,0.1111111111111111,0.3227572808988763,0.4562141893126925,3163.0,43.0,67.0,92.0,49.0,19.0,89.0,0.0769230769230769,13.0,0.2,5.0,18.0,7.0,0.1283430622406637,0.0,,,,,,,,0.0995850622406637,0.0528301886792452,2.0,1.0,0.8937878787878786,0.1051515151515148,0.0477178423236512,-10.25,0.0,0.0667269999999999,0.5860124777836191,-0.7304151227766349,0.0,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.79→0.89；竞价斜率+4.77pct/板；首封每板提前10分钟；炸板变化+0.0/板,9.0,10.0,7.0,1.0,0.25,0.328042328042328,189.0,2026-07-28T07:30:42+00:00,0.07499999999999994,-0.021181339932210698,-0.10946163374251691,0.1462329190538336,-0.032727996242748816,-0.009634683621672581,-0.10946163374251691,0.1462329190538336,0.38632072081195806,0.47716496853629026,0.2955535205535206,0.14860372908673208,0.9861256365621444,-0.005377970019680094,-0.034563635828337845,1,0,1,1,1,0,1,0,0,0,,nested_temporal_utility_v1,0.45,-0.05,0.05,0.9,-0.005,-0.03382147138629321,3,selection_policy_not_ready,5.0,0,0,20250107,134,2,74,0,0,0.0,1,0,0,,0.0,,,,,
20250110,20250113,20250114,20250114,0,600128.SH,苏豪弘业,贸易行业,2→3,10.0,9.56,10.52,10.52,123134525.44,tushare_stk_auction_o,10.62,0.1004184100418408,0.0095057034220531,0.0050057034220531,1,0,1,1,0,10.0,opening_auction_limit_up_unconfirmed,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.1001150747986192,0.0,0.0,11.277171700575469,0.0,565.0166666666667,565.0166666666667,18.50022300642409,1.370682342868357,0.045898543904908,0.0334859999999999,0.75,21.58154488323604,0.0012658785956347,4.238909518484041e-05,,,,0.4976744186046511,-0.028758,0.0993488372093023,0.0685011582056298,-0.0249383012962377,0.8890294024660133,0.0183370218147328,0.1251975972178311,3.784189633918261,4.219507705176107,-0.4353180712578455,0.532608695652174,0.5277777777777778,-0.0179299662921348,0.3258426966292135,0.0126488073770986,0.1111111111111111,0.0462962962962962,0.3792251425948587,0.9781070946563464,0.2507857458608534,-0.3020045818044666,1.0,-0.2940110825883948,EBB,退潮,0.0963356736747813,0.3871504709606553,0.1111111111111111,0.3227572808988763,0.4562141893126925,3163.0,43.0,67.0,92.0,49.0,19.0,89.0,0.0769230769230769,13.0,0.2,5.0,18.0,7.0,0.1288730747986192,0.0,,,,,,,,0.1001150747986192,0.1004184100418408,2.0,1.0,1.0,0.3484155930684665,0.10644418872267,-19.700000000000045,-1.0,-0.04397,-0.7291790727445004,1.291931366776324,0.5,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.65→1.00；竞价斜率+10.64pct/板；首封每板提前20分钟；炸板变化-1.0/板,9.0,10.0,7.0,1.0,0.25,0.328042328042328,189.0,2026-07-28T07:30:42+00:00,0.029999999999999957,-0.021181339932210698,-0.10946163374251691,0.1462329190538336,-0.032727996242748816,-0.009634683621672581,-0.10946163374251691,0.1462329190538336,0.38632072081195806,0.4879584583339734,0.2955535205535206,0.08064447914299326,0.9861256365621444,-0.0029446373385009763,-0.03495539977221208,1,0,1,1,1,0,1,1,0,0,,nested_temporal_utility_v1,0.45,-0.05,0.05,0.9,-0.005,-0.03382147138629321,3,selection_policy_not_ready,6.0,0,0,20250107,134,2,74,0,0,0.0,0,0,0,,0.0,,,,,
20250110,20250113,20250114,20250114,0,002811.SZ,郑中设计,专业服务,2→3,9.0,10.57,10.46,10.36,26518351.36,tushare_stk_auction_o,9.82,-0.0104068117313149,-0.0611854684512429,-0.0656854684512429,0,1,0,1,0,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,3.0,,,0.0998959417273674,0.0478668054110302,0.0478668054110302,12.273617399667808,3.0,570.25,575.0,18.663381598355585,0.5957188718654999,0.0484658694893924,0.0821819999999999,3.57,21.690277041526095,0.000467345128414,3.802177347393271e-05,,,,0.7746976744186046,-0.028758,0.0993488372093023,0.0685011582056298,-0.0249383012962377,0.8890294024660133,0.0183370218147328,0.1251975972178311,3.784189633918261,4.219507705176107,-0.4353180712578455,0.532608695652174,0.5277777777777778,-0.0179299662921348,0.3258426966292135,0.0126488073770986,0.1111111111111111,0.0462962962962962,0.3792251425948587,0.9781070946563464,0.2507857458608534,-0.3020045818044666,1.0,-0.2940110825883948,EBB,退潮,0.0963356736747813,0.3871504709606553,0.1111111111111111,0.3227572808988763,0.4562141893126925,3163.0,43.0,67.0,92.0,49.0,19.0,89.0,0.0769230769230769,13.0,0.2,5.0,18.0,7.0,0.1286539417273675,0.0,,,,,,,,0.0998959417273674,-0.0104068117313149,2.0,1.0,0.7539393939393939,0.1003443051201671,0.0531733010760625,-11.600000000000025,1.0,0.0370559999999999,0.7019841502016675,-0.2256255659534153,0.0,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.65→0.75；竞价斜率+5.32pct/板；首封每板提前12分钟；炸板变化+1.0/板,9.0,10.0,7.0,1.0,0.25,0.328042328042328,189.0,2026-07-28T07:30:42+00:00,-0.01500000000000002,-0.021181339932210698,-0.10946163374251691,0.1462329190538336,-0.032727996242748816,-0.009634683621672581,-0.10946163374251691,0.1462329190538336,0.38632072081195806,0.5013636255336568,0.2955535205535206,0.02744432265096852,0.9861256365621444,-0.0010131337057558505,-0.0354107549446946,1,0,1,1,0,0,1,1,0,0,,nested_temporal_utility_v1,0.45,-0.05,0.05,0.9,-0.005,-0.03382147138629321,3,selection_policy_not_ready,7.0,0,0,20250107,134,2,74,0,0,0.0,0,0,0,,0.0,,,,,
20250110,20250113,20250114,20250114,0,002536.SZ,飞龙股份,汽车零部件,2→3,7.0,13.74,14.18,14.29,104168683.52,tushare_stk_auction_o,13.45,0.032023289665211,-0.0514809590973203,-0.0559809590973203,0,1,0,1,0,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.1000800640512409,0.0704563650920737,0.0320256204963971,13.512680761165498,0.0,575.55,575.55,18.80919200433585,0.1996393688800268,0.0200053774509077,0.102771,3.3,22.720946166713343,0.0001353685866776,1.3564958087550575e-05,,,,0.9413953488372092,-0.028758,0.0993488372093023,0.0685011582056298,-0.0249383012962377,0.8890294024660133,0.0183370218147328,0.1251975972178311,3.784189633918261,4.219507705176107,-0.4353180712578455,0.532608695652174,0.5277777777777778,-0.0179299662921348,0.3258426966292135,0.0126488073770986,0.1111111111111111,0.0462962962962962,0.3792251425948587,0.9781070946563464,0.2507857458608534,-0.3020045818044666,1.0,-0.2940110825883948,EBB,退潮,0.0963356736747813,0.3871504709606553,0.1111111111111111,0.3227572808988763,0.4562141893126925,3163.0,43.0,67.0,92.0,49.0,19.0,89.0,0.0769230769230769,13.0,0.2,5.0,18.0,7.0,0.1288380640512409,0.0,,,,,,,,0.1000800640512409,0.032023289665211,2.0,1.0,0.9309545454545454,0.2469266347687398,0.0715786726297336,-4.300000000000068,-1.0,0.041849,0.6041786683075827,-0.0178276104090443,0.0,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.68→0.93；竞价斜率+7.16pct/板；首封每板提前4分钟；炸板变化-1.0/板,9.0,10.0,7.0,1.0,0.25,0.328042328042328,189.0,2026-07-28T07:30:42+00:00,0.07499999999999994,-0.021181339932210698,-0.10946163374251691,0.1462329190538336,-0.032727996242748816,-0.009634683621672581,-0.10946163374251691,0.1462329190538336,0.38632072081195806,0.5096266017977712,0.2955535205535206,0.22924100901601857,0.9861256365621444,-0.008519479884594488,-0.035456847546252994,1,0,1,1,1,0,1,0,0,0,,nested_temporal_utility_v1,0.45,-0.05,0.05,0.9,-0.005,-0.03382147138629321,3,selection_policy_not_ready,8.0,0,0,20250107,134,2,74,0,0,0.0,1,0,0,,0.0,,,,,
20250110,20250113,20250114,20250114,0,603667.SH,五洲新春,通用设备,2→3,5.0,31.1,33.8,33.81,292819968.0,tushare_stk_auction_o,32.0,0.0868167202572345,-0.0532544378698224,-0.0577544378698224,0,1,0,1,1,10.0,market_proxy_buyable,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.1001061195613726,0.0382030420940927,0.0063671736823487,13.841198697292446,0.0,570.9166666666666,570.9166666666666,19.60572088411444,0.3187869978196914,0.0287193349192852,0.09077,0.82,23.15590557362165,9.746399465616612e-05,8.78047449941814e-06,,,,0.964093023255814,-0.028758,0.0993488372093023,0.0685011582056298,-0.0249383012962377,0.8890294024660133,0.0183370218147328,0.1251975972178311,3.784189633918261,4.219507705176107,-0.4353180712578455,0.532608695652174,0.5277777777777778,-0.0179299662921348,0.3258426966292135,0.0126488073770986,0.1111111111111111,0.0462962962962962,0.3792251425948587,0.9781070946563464,0.2507857458608534,-0.3020045818044666,1.0,-0.2940110825883948,EBB,退潮,0.0963356736747813,0.3871504709606553,0.1111111111111111,0.3227572808988763,0.4562141893126925,3163.0,43.0,67.0,92.0,49.0,19.0,89.0,0.0769230769230769,13.0,0.2,5.0,18.0,7.0,0.1288641195613726,0.0,,,,,,,,0.1001061195613726,0.0868167202572345,2.0,1.0,0.9864458186101296,0.4164253021615978,0.1116377785638488,-212.6833333333334,0.0,-0.061407,-0.359424457296619,0.117842792604664,0.0,1.0,0.0,0.0,0.0,WEAK_TO_STRONG,弱转强,路径强度0.57→0.99；竞价斜率+11.16pct/板；首封每板提前213分钟；炸板变化+0.0/板,9.0,10.0,7.0,1.0,0.25,0.328042328042328,189.0,2026-07-28T07:30:42+00:00,0.07499999999999994,-0.021181339932210698,-0.10946163374251691,0.1462329190538336,-0.032727996242748816,-0.009634683621672581,-0.10946163374251691,0.1462329190538336,0.38632072081195806,0.5090620561952977,0.2955535205535206,0.14053284751160952,0.9861256365621444,-0.005220362414368777,-0.035528619339683196,1,0,1,1,1,0,1,0,0,0,,nested_temporal_utility_v1,0.45,-0.05,0.05,0.9,-0.005,-0.03382147138629321,3,selection_policy_not_ready,9.0,0,0,20250107,134,2,74,0,0,0.0,0,0,0,,0.0,,,,,
20250113,20250114,20250115,20250115,0,600202.SH,哈空调,电源设备,2→3,5.0,5.35,5.6,5.6,44253998.08,tushare_stk_auction_o,5.86,0.0467289719626167,0.0464285714285714,0.0419285714285714,1,0,1,1,1,10.0,market_proxy_buyable,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.1008230452674896,0.0,0.0,11.818245212605529,0.0,565.0166666666667,565.0166666666667,18.410637337367785,0.72952926491924,0.0482724695974327,0.066169,1.47,21.44153119621355,0.000736893148688,4.87597329224871e-05,,,,0.7046892445106067,0.002641,0.5595459620394492,0.0264979559472142,-0.0001704203036053,0.4256799493991144,0.0262492093611638,0.0341555977229601,3.951243718581428,3.784189633918261,0.1670540846631662,0.3544303797468354,0.3953488372093023,-0.0015443720930232,0.4883720930232558,0.0088564436392623,0.3333333333333333,0.0416441319632233,0.2974262033350313,0.8502405608920759,0.4283745041746463,0.1775887583137928,1.0,0.4795933401182595,REPAIR,修复,0.5318818366540166,0.4854802008465188,0.3333333333333333,0.4860826046511628,0.2004811217841517,3162.0,51.0,43.0,79.0,28.0,17.0,43.0,0.3636363636363636,11.0,0.0,1.0,12.0,8.0,0.0981820452674896,0.0,,,,,,,,0.1008230452674896,0.0467289719626167,2.0,1.0,1.0,0.4099342057990228,0.062361506805951,-5.550000000000068,-12.0,-0.06419,-0.5683810429930922,0.6982067987530752,0.5,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.59→1.00；竞价斜率+6.24pct/板；首封每板提前6分钟；炸板变化-12.0/板,3.0,6.0,8.0,1.0,0.07142857142857142,0.3411764705882353,170.0,2026-07-28T07:30:42+00:00,0.07499999999999994,-0.021181339932210698,-0.18431875,0.1462329190538336,-0.032727996242748816,-0.009634683621672581,-0.18431875,0.1462329190538336,0.38632072081195806,0.5155075876112829,0.2955535205535206,0.11927681122811284,0.9861256365621444,-0.004453830212512275,-0.035743241318446244,1,0,1,1,1,0,1,1,0,0,,nested_temporal_utility_v1,0.45,-0.05,0.05,0.9,-0.005,-0.03382147138629321,3,selection_policy_not_ready,4.0,0,0,20250107,134,2,74,0,0,0.0,1,0,0,,0.0,,,,,
20250113,20250114,20250115,20250115,0,603086.SH,先达股份,农药兽药,2→3,7.0,5.08,5.1,5.1,28377930.24,tushare_stk_auction_o,5.51,0.0039370078740157,0.0803921568627452,0.0758921568627452,1,0,1,1,1,10.0,market_proxy_buyable,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,1.0,,,0.0995670995670996,0.1168831168831169,0.0627705627705627,12.44015745834574,1.0,573.9166666666666,581.8166666666667,16.975223212575283,0.0932300102519755,0.0106679108240425,0.1167769999999999,4.71,21.51573820248849,0.0003956489159334,4.527241111954783e-05,,,,0.8390398213621139,0.002641,0.5595459620394492,0.0264979559472142,-0.0001704203036053,0.4256799493991144,0.0262492093611638,0.0341555977229601,3.951243718581428,3.784189633918261,0.1670540846631662,0.3544303797468354,0.3953488372093023,-0.0015443720930232,0.4883720930232558,0.0088564436392623,0.3333333333333333,0.0416441319632233,0.2974262033350313,0.8502405608920759,0.4283745041746463,0.1775887583137928,1.0,0.4795933401182595,REPAIR,修复,0.5318818366540166,0.4854802008465188,0.3333333333333333,0.4860826046511628,0.2004811217841517,3162.0,51.0,43.0,79.0,28.0,17.0,43.0,0.3636363636363636,11.0,0.0,1.0,12.0,8.0,0.0969260995670996,0.0,,,,,,,,0.0995670995670996,0.0039370078740157,2.0,1.0,0.7637298840138927,0.2572147324987412,0.0367965367965368,-208.91666666666677,0.0,0.0518629999999999,0.6770630006410094,-0.0515875201275724,0.0,1.0,0.0,0.0,0.0,WEAK_TO_STRONG,弱转强,路径强度0.51→0.76；竞价斜率+3.68pct/板；首封每板提前209分钟；炸板变化+0.0/板,3.0,6.0,8.0,1.0,0.07142857142857142,0.3411764705882353,170.0,2026-07-28T07:30:42+00:00,0.07499999999999994,-0.021181339932210698,-0.18431875,0.1462329190538336,-0.032727996242748816,-0.009634683621672581,-0.18431875,0.1462329190538336,0.38632072081195806,0.5344610542963217,0.2955535205535206,0.4462444136937577,0.9861256365621444,-0.01691663027268083,-0.03598487771653177,1,0,1,1,1,0,1,0,0,0,,nested_temporal_utility_v1,0.45,-0.05,0.05,0.9,-0.005,-0.03382147138629321,3,selection_policy_not_ready,5.0,0,0,20250107,134,2,74,0,0,0.0,1,0,0,,0.0,,,,,
20250113,20250114,20250115,20250115,0,603166.SH,福达股份,汽车零部件,2→3,6.0,8.67,8.64,8.68,52862341.12,tushare_stk_auction_o,9.95,-0.0034602076124566,0.1516203703703702,0.1471203703703702,1,0,1,1,0,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.100253807106599,0.0,0.0,11.67866510690116,0.0,565.05,565.05,18.35805946639485,0.7958437093681822,0.0169542305617392,0.021303,0.9,22.435297341564272,0.000847273976894,1.80498735921743e-05,,,,0.6644957201339784,0.002641,0.5595459620394492,0.0264979559472142,-0.0001704203036053,0.4256799493991144,0.0262492093611638,0.0341555977229601,3.951243718581428,3.784189633918261,0.1670540846631662,0.3544303797468354,0.3953488372093023,-0.0015443720930232,0.4883720930232558,0.0088564436392623,0.3333333333333333,0.0416441319632233,0.2974262033350313,0.8502405608920759,0.4283745041746463,0.1775887583137928,1.0,0.4795933401182595,REPAIR,修复,0.5318818366540166,0.4854802008465188,0.3333333333333333,0.4860826046511628,0.2004811217841517,3162.0,51.0,43.0,79.0,28.0,17.0,43.0,0.3636363636363636,11.0,0.0,1.0,12.0,8.0,0.097612807106599,0.0,,,,,,,,0.100253807106599,-0.0034602076124566,2.0,1.0,1.0,0.3092979797979799,0.1030471031959845,-9.06666666666672,-1.0,-0.0124029999999999,-0.3539544678969584,0.5336876879464146,0.5,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.69→1.00；竞价斜率+10.30pct/板；首封每板提前9分钟；炸板变化-1.0/板,3.0,6.0,8.0,1.0,0.07142857142857142,0.3411764705882353,170.0,2026-07-28T07:30:42+00:00,0.07499999999999994,-0.021181339932210698,-0.18431875,0.1462329190538336,-0.032727996242748816,-0.009634683621672581,-0.18431875,0.1462329190538336,0.38632072081195806,0.5412862178629528,0.2955535205535206,0.22220544601612613,0.9861256365621444,-0.008469059406529571,-0.036413671591208334,1,0,1,1,1,0,1,0,0,0,,nested_temporal_utility_v1,0.45,-0.05,0.05,0.9,-0.005,-0.03382147138629321,3,selection_policy_not_ready,6.0,0,0,20250107,134,2,74,0,0,0.0,1,0,0,,0.0,,,,,
20250114,20250115,20250116,20250116,0,002418.SZ,康盛股份,家电行业,2→3,9.0,4.11,4.38,4.3,169505157.12,tushare_stk_auction_o,3.8,0.0656934306569341,-0.1324200913242009,-0.1369200913242009,0,1,0,1,0,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.0989304812834224,0.0775401069518717,0.0561497326203209,13.163229762619302,0.0,571.15,571.15,18.808779262014784,0.2830295781714917,0.0315628342715417,0.113902,0.48,22.264554236666555,0.0001919918450465,2.141050707788543e-05,,,,0.8934350009298866,0.044715,0.9920029756369724,0.0280078659044654,0.0405461269340069,0.0097884433217556,0.2917587622355541,0.0003157562361856,4.983606621708336,1.3862943611198906,3.597312260588446,0.2564102564102564,0.375,0.0543184399999999,0.96,0.0317345296925378,0.875,0.0480555555555555,0.2060527035306174,1.1612884265768402,0.9006139049035895,0.4722394007289432,1.0,0.2946506424151504,EXPANSION,发酵,0.99559520050521,0.7724358974358975,0.875,0.984,0.8225768531536803,3167.0,145.0,3.0,195.0,50.0,45.0,50.0,1.0,4.0,0.75,4.0,8.0,9.0,0.0542154812834224,0.0,,,,,,,,0.0989304812834224,0.0656934306569341,2.0,1.0,0.885441031941032,0.0970105506576096,0.0251336898395722,-50.39999999999998,0.0,-0.179408,-0.7756948294270636,0.1618182914942487,0.0,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.79→0.89；竞价斜率+2.51pct/板；首封每板提前50分钟；炸板变化+0.0/板,9.0,12.0,9.0,1.0,0.075,0.32919254658385094,161.0,2026-07-28T07:30:42+00:00,0.07499999999999994,-0.021181339932210698,-0.1040489099080987,0.1462329190538336,-0.032727996242748816,-0.009634683621672581,-0.1040489099080987,0.1462329190538336,0.38632072081195806,0.44448024288033705,0.2955535205535206,0.05369265424869089,0.9861256365621444,-0.001890489651494094,-0.033678005133497294,1,0,1,1,1,1,1,1,1,0,,nested_temporal_utility_v1,0.45,-0.05,0.05,0.9,-0.005,-0.03382147138629321,3,selection_policy_not_ready,8.0,0,0,20250107,134,2,74,0,0,0.0,1,0,0,,0.0,,,,,
20250114,20250115,20250116,20250116,0,002164.SZ,宁波东力,通用设备,2→3,11.0,5.81,6.38,6.38,97618380.8,tushare_stk_auction_o,6.2,0.0981067125645438,-0.0282131661442005,-0.0327131661442005,0,1,1,1,0,10.0,opening_auction_limit_up_unconfirmed,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.1003787878787878,0.0757575757575756,0.0624999999999998,12.005050440518,0.0,575.35,575.35,18.02826293840326,0.4129054352308595,0.0242304322801266,0.060503,2.77,21.748408827570703,0.0006113296974784,3.587451646719258e-05,,,,0.6564999070113446,0.044715,0.9920029756369724,0.0280078659044654,0.0405461269340069,0.0097884433217556,0.2917587622355541,0.0003157562361856,4.983606621708336,1.3862943611198906,3.597312260588446,0.2564102564102564,0.375,0.0543184399999999,0.96,0.0317345296925378,0.875,0.0480555555555555,0.2060527035306174,1.1612884265768402,0.9006139049035895,0.4722394007289432,1.0,0.2946506424151504,EXPANSION,发酵,0.99559520050521,0.7724358974358975,0.875,0.984,0.8225768531536803,3167.0,145.0,3.0,195.0,50.0,45.0,50.0,1.0,4.0,0.75,4.0,8.0,9.0,0.0556637878787878,0.0,,,,,,,,0.1003787878787878,0.0981067125645438,2.0,1.0,0.8706080617495712,0.2393353344768438,0.0503787878787878,-42.75,-1.0,0.02524,0.6615027075449014,-0.0084138777915971,0.0,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.63→0.87；竞价斜率+5.04pct/板；首封每板提前43分钟；炸板变化-1.0/板,9.0,12.0,9.0,1.0,0.075,0.32919254658385094,161.0,2026-07-28T07:30:42+00:00,0.07499999999999994,-0.021181339932210698,-0.1040489099080987,0.1462329190538336,-0.032727996242748816,-0.009634683621672581,-0.1040489099080987,0.1462329190538336,0.38632072081195806,0.4567216523674359,0.2955535205535206,0.10348304170917307,0.9861256365621444,-0.003681585924220179,-0.03399545703064978,1,0,1,1,1,0,1,1,0,0,,nested_temporal_utility_v1,0.45,-0.05,0.05,0.9,-0.005,-0.03382147138629321,3,selection_policy_not_ready,10.0,0,0,20250107,134,2,74,0,0,0.0,0,0,0,,0.0,,,,,
