_source_index,signal_date,buy_date,target_exit_date,actual_exit_date,exit_delay_days,ts_code,name,industry,stage,source_rank,d_close,buy_open,auction_vwap,auction_amount,auction_truth_source,exit_open,actual_buy_gap,gross_return,net_return,profit_hit,big_loss_hit,continuation_limit_up_hit,exit_on_time,market_fill,mechanism_limit_pct,fill_reason,exit_reason,exit_policy_version,take_profit_pct,stop_loss_pct,latest_exit_time,history_source,history_contract_version,prior_probability,strength_score,theme_boost,final_score,intraday_quality,intraday_risk,intraday_hard_risk,auction_strength,intraday_confidence,stage_quality,stage_risk,stage_prior,limit_times,open_board_count,reseal_score,late_withdraw,d_return,d_range,d_turnover_proxy,d_amount_log,limit_open_times,limit_first_time_minutes,limit_last_time_minutes,limit_fd_amount_log,limit_seal_to_amount,limit_seal_to_float_mv,d_turnover_rate,d_volume_ratio,d_float_mv_log,order_to_d_amount,order_to_float_mv,is_hot_board,board_rank,board_limit_up_count,d_amount_percentile,market_median_return,market_up_ratio,market_return_dispersion,market_equal_weight_return,market_down_ratio,market_strong_up_ratio,market_strong_down_ratio,market_limit_up_count_log,market_limit_down_count_log,market_limit_up_down_log_ratio,market_failed_limit_up_rate,market_reseal_rate,market_prev_limit_up_mean_return,market_prev_limit_up_positive_rate,market_prev_limit_up_open_gap_mean,market_focus_promotion_rate,market_limit_up_industry_concentration,market_limit_up_amount_top3_share,market_amount_ratio_5d,market_sentiment_score,market_sentiment_delta,market_sentiment_coverage,market_sentiment_acceleration,market_sentiment_regime_code,market_sentiment_regime_label,market_sentiment_breadth_score,market_sentiment_limit_ecology_score,market_sentiment_promotion_score,market_sentiment_profit_effect_score,market_sentiment_liquidity_score,market_eligible_stock_count,market_limit_up_count,market_limit_down_count,market_touched_up_count,market_failed_limit_up_count,market_reseal_count,market_prev_limit_up_sample,market_2_to_3_promotion_rate,market_2_to_3_promotion_samples,market_3_to_4_promotion_rate,market_3_to_4_promotion_samples,market_focus_promotion_samples,market_max_streak,relative_d_return,minute_available,minute_realized_vol,minute_first_30m_return,minute_last_30m_return,minute_vwap_deviation,minute_opening_volume_share,minute_closing_volume_share,minute_close_location,limit_ratio,proposed_gap,path_days_observed,path_data_coverage,path_strength_latest,path_strength_delta,path_gap_slope,path_first_seal_slope,path_open_times_slope,path_turnover_slope,path_amount_log_slope,path_seal_ratio_slope,path_one_price_ratio,path_weak_to_strong,path_strong_to_weak,path_acceleration_consensus,path_divergence_reseal,path_label_code,path_label,path_explanation,stage_pool_size,focus_pool_size,market_max_limit_times,same_industry_stage_count,stage_pool_share,stage_recent_promotion_rate,stage_recent_promotion_samples,backfill_generated_at_utc,public_market_buyable,actual_order_fill_observed,actual_order_fill,five_year_stage_board_prior_rate,five_year_stage_prior_rate,five_year_recent_20d_rate,five_year_recent_60d_rate,five_year_prior_samples_log,five_year_recent_60d_samples_log,five_year_regime_delta,five_year_board_stage_delta,five_year_pre_streak_1d_return,five_year_pre_streak_3d_return,five_year_pre_streak_volatility,five_year_pre_streak_limit_up_count,five_year_recent_limit_up_count,five_year_days_since_prior_limit_up,five_year_streak_runup,five_year_price_log,five_year_stock_prior_rate,five_year_stock_prior_samples_log,diagnostic_gap,predicted_net_return,predicted_return_lcb,predicted_return_ucb,predicted_mean_return_lcb,predicted_mean_return_ucb,predicted_outcome_q10,predicted_outcome_q90,predicted_profit_probability,predicted_big_loss_probability,predicted_continuation_limit_up_probability,predicted_fill_probability,predicted_exit_probability,conservative_ev,selection_score,stage_focus,gate_policy_ready,gate_stage_focus,gate_exit_probability,gate_fill_probability,gate_big_loss_probability,gate_mean_return_lcb,gate_conservative_ev,gate_selection_score,risk_gate_pass,recommended_max_gap,selection_policy_version,policy_max_big_loss_probability,policy_min_mean_return_lcb,policy_min_fill_probability,policy_min_exit_probability,policy_min_conservative_ev,policy_min_selection_score,policy_max_positions,model_reason,shadow_rank,shadow_selected,selected,oos_train_end,oos_train_dates,oos_refit_index,oos_block_dates,cap_accepted,strategy_filled,strategy_weight,shadow_cap_accepted,shadow_market_filled,shadow_limit_filled,strategy_net_return,strategy_portfolio_return,shadow_market_net_return,shadow_limit_net_return,forecast_error,direction_success,within_prediction_interval,stage_transition,observation_max_price,observation_auction_change_pct,observation_price_basis,observation_price_is_formal,observation_rank,stage_watch_rank,observation_pool_size,observation_selected,observation_risk_tier,observation_risk_label,watch_label,trade_predicted_conditional_net_return,trade_predicted_mean_return_lcb,trade_predicted_fill_probability,trade_predicted_big_loss_probability,promotion_rank_score,predicted_promotion_probability,trade_predicted_outcome_q10,trade_tail_loss_proxy,trade_base_score,trade_score,promotion_rank,trade_tail_risk_weight,trade_rank,trade_gate_pass,trade_shadow_selected,trade_selected,trade_model_reason,trade_selector_policy_ready,trade_selector_version,trade_selector_promoted,trade_selector_artifact_sha256,trade_oos_train_end,trade_oos_train_dates,trade_oos_refit_index,trade_oos_block_dates,trade_selector_globally_promoted
15631,20250609,20250610,20250611,20250611,0,600232.SH,金鹰股份,纺织服装,2→3,5.0,7.0,7.7,7.7,23026849.28,tushare_stk_auction_o,7.42,0.1,-0.0363636363636363,-0.0408636363636363,0,1,1,1,0,10.0,opening_auction_limit_up_unconfirmed,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.10062893081761,0.0,0.0,10.012046398079775,0.0,565.0,565.0,19.51227375838761,13.36336403287038,0.1166855118833771,0.008732,0.56,21.660546651204964,0.0044858317247888,3.916914706073812e-05,,,,0.029701132355671,0.00803,0.7649897902357528,0.0242869314747663,0.0100644769133459,0.2239089184060721,0.0468058191018342,0.0031625553447185,4.454347296253507,1.6094379124341005,2.844909383819408,0.3253968253968254,0.4285714285714285,0.0293014285714285,0.6507936507936508,0.0221021211872504,0.3846153846153846,0.0389030612244897,0.2674473769991861,1.0752578009228373,0.63689059722741,0.0509006478288622,1.0,-0.0859464743859599,EXPANSION,发酵,0.7164986917562725,0.7417697230061696,0.3846153846153846,0.7361260317460319,0.6505156018456746,3162.0,85.0,4.0,126.0,41.0,24.0,63.0,0.2857142857142857,7.0,0.5,6.0,13.0,7.0,0.09259893081761,0.0,,,,,,,,0.10062893081761,0.1,2.0,1.0,1.0,0.2606452455590389,0.1023590346238385,-67.91666666666663,0.0,-0.0250829999999999,-1.2305260107178242,12.97716503104642,0.5,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.74→1.00；竞价斜率+10.24pct/板；首封每板提前68分钟；炸板变化+0.0/板,8.0,8.0,6.0,1.0,0.1428571428571428,0.3905325443786982,169.0,2026-07-28T07:30:42+00:00,,,,0.36853669122238264,0.37027224597446673,0.39474864196146764,0.34716882497386564,8.016977746762262,5.484796933490655,-0.021367866248516998,-0.0017355547520840897,,,,,,,,,0.3333333333333333,0.6931471805599453,-0.005000000000000025,-0.0246471573630224,-0.11223596629267693,0.1289752490714471,-0.03213981659949705,-0.017154498126547752,-0.11223596629267693,0.1289752490714471,0.340959762168516,0.47160650977537916,0.2977507131885012,0.020380363902766464,0.9834728439212167,-0.000807504877629392,-0.03811257653037767,1,0,1,1,0,0,1,1,0,0,,nested_temporal_utility_v1,0.35,-0.05,0.05,0.9,-0.02,-0.036292279349335224,3,selection_policy_not_ready,6.0,0,0,20250331,387,4,109,0,0,0.0,0,0,0,,0.0,,,,,,2→3,6.97,-0.4286,model_diagnostic_cap,False,4,4,8,1,2,高风险观察,仅观察,-0.017678433684244182,-0.03392381517404758,0.11992793726979878,0.5875057863070792,0.9605113039616404,0.9147008749941985,-0.1310736645117386,-0.07700653633311928,-0.004068413178145426,-0.008686030707506832,1.0,0.5,1.0,1,1,1,learned_policy_pass,1,trade_selector_v2_nested_oos_top10_promotion_rank,1,5817b4066003c30ba8f36f9b95deec68c7061dd1a0cdbf5dabe9891ee77f10cb,20250604,258,3,40,0
15652,20250610,20250611,20250612,20250612,0,600980.SH,北矿科技,小金属,2→3,7.0,20.68,22.75,22.75,112164331.52,tushare_stk_auction_o,25.03,0.1000967117988393,0.1002197802197801,0.0957197802197801,1,0,1,1,0,10.0,opening_auction_limit_up_unconfirmed,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.0999999999999998,0.0,0.0,10.73099948463058,0.0,565.0166666666667,565.0166666666667,18.959721551203504,3.747124098808959,0.047188535090887,0.012593,0.38,22.013325862158243,0.0021857255596867,2.752542604743453e-05,,,,0.1314179796107507,-0.010578,0.2341056533827618,0.045490878656991,-0.0062430388625592,0.7342812006319115,0.0255924170616113,0.0126382306477093,4.02535169073515,1.0986122886681096,2.92673940206704,0.4270833333333333,0.5833333333333334,0.0271610722891566,0.6867469879518072,0.0261315847298159,0.6,0.0555555555555555,0.2461522910081,1.14786341297409,0.6293223665555837,-0.0075682306718263,1.0,-0.0584688785006886,EXPANSION,发酵,0.3373456034755134,0.739321280183737,0.6,0.7376652289156626,0.7957268259481798,3165.0,55.0,2.0,96.0,41.0,21.0,83.0,0.5384615384615384,13.0,1.0,2.0,15.0,8.0,0.1105779999999998,0.0,,,,,,,,0.0999999999999998,0.1000967117988393,2.0,1.0,1.0,0.303026581605529,0.087126974839087,-36.616666666666674,-1.0,-0.070285,-1.7683787646738909,3.566637900261151,0.5,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.70→1.00；竞价斜率+8.71pct/板；首封每板提前37分钟；炸板变化-1.0/板,8.0,11.0,7.0,1.0,0.2222222222222222,0.4011627906976744,172.0,2026-07-28T07:30:42+00:00,,,,0.3690371520216481,0.3704249713067488,0.4169037152021648,0.3522784329973725,8.01829613851552,5.493061443340548,-0.016758719024275615,-0.0013878192851006776,0.0,0.0,0.0,0.0,3.0,6.0,0.3310104529616724,4.487062097507763,0.4,0.0,-0.005000000000000025,-0.0246471573630224,-0.11223596629267693,0.1289752490714471,-0.03213981659949705,-0.017154498126547752,-0.11223596629267693,0.1289752490714471,0.340959762168516,0.40920150970105673,0.2977507131885012,0.030195833493480533,0.957861593627966,-0.001178547094512384,-0.03751117357321982,1,0,1,1,0,0,1,1,0,0,,nested_temporal_utility_v1,0.35,-0.05,0.05,0.9,-0.02,-0.036292279349335224,3,selection_policy_not_ready,6.0,0,0,20250331,387,4,109,0,0,0.0,0,0,0,,0.0,,,,,,2→3,20.58,-0.4836,model_diagnostic_cap,False,4,4,11,1,2,高风险观察,仅观察,-0.017678433684244182,-0.03392381517404758,0.19403861461236757,0.5768293556034366,0.880171716602479,0.8008076056385343,-0.1310736645117386,-0.07560713743688721,-0.006582530098738205,-0.013917882200268437,1.0,0.5,1.0,1,1,1,learned_policy_pass,1,trade_selector_v2_nested_oos_top10_promotion_rank,1,5817b4066003c30ba8f36f9b95deec68c7061dd1a0cdbf5dabe9891ee77f10cb,20250604,258,3,40,0
15687,20250611,20250612,20250613,20250613,0,603332.SH,苏州龙杰,化纤行业,3→4,5.0,19.8,21.01,20.99,98885335.04,tushare_stk_auction_o,18.22,0.0611111111111111,-0.1327939076630178,-0.1372939076630178,0,1,0,1,0,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,3.0,0.0,,,0.1,0.0,0.0,11.356458912244909,0.0,565.0,565.0,18.55682000188822,1.3399301633729526,0.0267490330717592,0.0199629999999999,0.13,22.17807694653801,0.0011693853238306,2.334444552097822e-05,,,,0.4253427195257502,0.0036804999999999,0.6326417191552427,0.0439512474597904,0.0060065213135459,0.2942848121250395,0.0334701610356804,0.0101041995579412,4.23410650459726,2.302585092994046,1.9315214116032136,0.3703703703703703,0.2553191489361702,0.0193598181818181,0.6,0.0290763448196101,0.4761904761904761,0.0593028519692168,0.2505219019606285,1.0036222897885914,0.5849260883512973,-0.0443962782042863,1.0,-0.03682804753246,EXPANSION,发酵,0.6476316132512367,0.6079398071149271,0.4761904761904761,0.6561589090909091,0.5072445795771827,3167.0,68.0,9.0,108.0,40.0,12.0,55.0,0.4285714285714285,14.0,0.5714285714285714,7.0,21.0,9.0,0.0963195,0.0,,,,,,,,0.1,0.0611111111111111,3.0,1.0,1.0,0.2596411988663702,0.0405850706119703,-35.633333333333326,-1.0,-0.0609445,-0.8701557572730625,0.5997484307130624,0.3333333333333333,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.74→1.00；竞价斜率+4.06pct/板；首封每板提前36分钟；炸板变化-1.0/板,3.0,6.0,6.0,1.0,0.0638297872340425,0.4705882352941176,68.0,2026-07-28T07:30:42+00:00,,,,0.48113151504113877,0.5004397815928553,0.45440239896690393,0.5121697272561708,7.02108396428914,4.454347296253507,0.031038212215032057,-0.019308266551716524,0.0979284369114878,0.2070393374741201,0.0007252225380448,2.0,5.0,2.0,0.3310463121783875,2.1701959049483,0.5,2.079441541679836,-2.7755575615628914e-17,-0.0246471573630224,-0.16542162727880907,0.15042142690763513,-0.03213981659949705,-0.017154498126547752,-0.16542162727880907,0.15042142690763513,0.340959762168516,0.44707061800472575,0.2977507131885012,0.027965429184835026,0.990249378127843,-0.0010779780013697312,-0.03703008800164468,1,0,1,1,0,0,1,1,0,0,,nested_temporal_utility_v1,0.35,-0.05,0.05,0.9,-0.02,-0.036292279349335224,3,selection_policy_not_ready,2.0,1,0,20250331,387,4,109,0,0,0.0,0,1,0,,0.0,-0.1372939076630178,,,,,3→4,19.8,0.0,model_diagnostic_cap,False,1,1,6,1,2,高风险观察,仅观察,-0.017678433684244182,-0.03392381517404758,0.2606420057685001,0.6017584372970818,0.7810146517669442,0.689845291930677,-0.1310736645117386,-0.07887468352738579,-0.00884197123028364,-0.019120999089750394,2.0,0.5,2.0,1,1,1,learned_policy_pass,1,trade_selector_v2_nested_oos_top10_promotion_rank,1,5817b4066003c30ba8f36f9b95deec68c7061dd1a0cdbf5dabe9891ee77f10cb,20250604,258,3,40,0
15764,20250612,20250613,20250616,20250616,0,601279.SH,英利汽车,汽车零部件,2→3,7.0,4.36,4.8,4.8,17429760.0,tushare_stk_auction_o,4.5,0.1009174311926603,-0.0625,-0.067,0,1,1,1,0,10.0,opening_auction_limit_up_unconfirmed,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.101010101010101,0.0,0.0,10.554493639780754,0.0,565.0333333333333,565.0333333333333,18.919476577066533,4.294150417827298,0.023817337495261,0.005546,0.86,22.656818068458527,0.0026076720841923,1.4463351318187973e-05,,,,0.1489440533530937,-0.001497,0.4310855872545387,0.0580070296903076,0.0016705595200505,0.570571518787496,0.0318913798547521,0.0072623934322702,4.127134385045092,2.079441541679836,2.0476928433652555,0.351063829787234,0.4807692307692308,0.0237521791044776,0.5373134328358209,0.0274652296847495,0.3636363636363636,0.0488165680473372,0.2015055150868481,0.9756860342656958,0.5313329233060305,-0.0535931650452667,1.0,-0.0091968868409804,EBB,退潮,0.4835562788127566,0.6710787892047531,0.3636363636363636,0.6574384477611941,0.4513720685313915,3167.0,61.0,7.0,94.0,33.0,25.0,67.0,0.4,5.0,0.3333333333333333,6.0,11.0,10.0,0.1025071010101009,0.0,,,,,,,,0.101010101010101,0.1009174311926603,2.0,1.0,1.0,0.0889343434343432,0.0454545454545454,-5.016666666666652,0.0,-0.005428,-0.5831563139167564,3.433591524452644,0.5,0.0,0.0,0.0,0.0,STABLE_STRONG,持续强势,路径强度0.91→1.00；竞价斜率+4.55pct/板；首封每板提前5分钟；炸板变化+0.0/板,11.0,13.0,7.0,4.0,0.2115384615384615,0.3977272727272727,176.0,2026-07-28T07:30:42+00:00,,,,0.36925918254765533,0.37050676630079415,0.408341979677351,0.3618137855265408,8.021256180143997,5.476463551931511,-0.007445397021114519,-0.0012475837531388256,0.0199866755496336,0.0039344262295082,0.0252737188469178,0.0,2.0,6.0,0.2096668843892879,2.9714395809849465,0.3333333333333333,0.6931471805599453,0.05999999999999994,-0.0246471573630224,-0.11529502202177552,0.1289752490714471,-0.03213981659949705,-0.017154498126547752,-0.11529502202177552,0.1289752490714471,0.340959762168516,0.47160650977537916,0.2977507131885012,0.11295085924308472,0.9898463032460341,-0.00443931185580845,-0.03770133306879648,1,0,1,1,1,0,1,1,0,0,,nested_temporal_utility_v1,0.35,-0.05,0.05,0.9,-0.02,-0.036292279349335224,3,selection_policy_not_ready,11.0,0,0,20250331,387,4,109,0,0,0.0,0,0,0,,0.0,,,,,,2→3,4.62,5.9633,model_diagnostic_cap,False,10,10,13,1,2,高风险观察,仅观察,-0.017678433684244182,-0.03392381517404758,0.26154528625171936,0.5371111698457436,0.841937477012346,0.7554803742036125,-0.1310736645117386,-0.07040112928186845,-0.008872613950446695,-0.018079155705681988,1.0,0.5,1.0,1,1,1,learned_policy_pass,1,trade_selector_v2_nested_oos_top10_promotion_rank,1,5817b4066003c30ba8f36f9b95deec68c7061dd1a0cdbf5dabe9891ee77f10cb,20250604,258,3,40,0
15780,20250613,20250616,20250617,20250617,0,002235.SZ,安妮股份,造纸印刷,2→3,6.0,6.9,6.99,6.92,137029314.56,tushare_stk_auction_o,6.98,0.0130434782608694,-0.0014306151645206,-0.0059306151645206,0,0,0,1,0,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.1004784688995217,0.0,0.0,12.005549732480995,0.0,565.0,565.0,19.232801020654616,1.3764422837095944,0.0589754417931218,0.042846,0.5,22.063435179000468,0.0006110245397964,2.618013309197297e-05,,,,0.5772508336420896,-0.0201545,0.1572804742497221,0.0316070909870887,-0.0159386474116161,0.8238636363636364,0.0236742424242424,0.0432449494949494,3.970291913552122,3.1780538303479458,0.7922380832041763,0.35,0.4666666666666667,-0.0139460491803278,0.3442622950819672,0.0132869151360358,0.3333333333333333,0.0577777777777777,0.2564324124678758,1.152813576309142,0.4054521893958062,-0.1258807339102243,1.0,-0.0722875688649575,EBB,退潮,0.2081570956965488,0.5570878296181491,0.3333333333333333,0.3540286229508197,0.8056271526182841,3168.0,52.0,23.0,80.0,28.0,21.0,61.0,0.3846153846153846,13.0,0.0,2.0,15.0,5.0,0.1206329688995217,0.0,,,,,,,,0.1004784688995217,0.0130434782608694,2.0,1.0,1.0,0.4493811802232857,0.1039872408293464,-271.6,0.0,-0.099133,-1.0614898236719412,1.1405146901439498,0.5,1.0,0.0,0.0,0.0,WEAK_TO_STRONG,弱转强,路径强度0.55→1.00；竞价斜率+10.40pct/板；首封每板提前272分钟；炸板变化+0.0/板,3.0,7.0,5.0,1.0,0.0666666666666666,0.375,176.0,2026-07-28T07:30:42+00:00,,,,0.371469006348236,0.3704952991817833,0.37175784163048137,0.40067201209071696,8.231908243564177,5.488937726156687,0.02920300574248097,0.0009737071664526753,,,,,,,,,0.6,1.791759469228055,0.03999999999999995,-0.0246471573630224,-0.11529502202177552,0.1289752490714471,-0.03213981659949705,-0.017154498126547752,-0.11529502202177552,0.1289752490714471,0.340959762168516,0.40920150970105673,0.2977507131885012,0.13726408188762354,0.9751769410094486,-0.00523859523275842,-0.036538337955751544,1,0,1,1,1,0,1,1,0,0,,nested_temporal_utility_v1,0.35,-0.05,0.05,0.9,-0.02,-0.036292279349335224,3,selection_policy_not_ready,4.0,0,0,20250331,387,4,109,0,0,0.0,1,0,0,,0.0,,,,,,2→3,7.18,4.058,model_diagnostic_cap,False,1,1,7,1,2,高风险观察,仅观察,-0.017678433684244182,-0.03392381517404758,0.27193662971756405,0.6461755797571375,0.7073035191830139,0.6178546051858175,-0.1310736645117386,-0.08469660115676522,-0.009225127965592057,-0.020741182099143794,2.0,0.5,1.0,1,1,1,learned_policy_pass,1,trade_selector_v2_nested_oos_top10_promotion_rank,1,5817b4066003c30ba8f36f9b95deec68c7061dd1a0cdbf5dabe9891ee77f10cb,20250604,258,3,40,0
15825,20250616,20250617,20250618,20250618,0,002490.SZ,山东墨龙,专用设备,2→3,6.0,4.79,4.93,4.98,67225856.0,tushare_stk_auction_o,5.61,0.0292275574112734,0.1379310344827586,0.1334310344827586,1,0,1,1,0,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.1011494252873563,0.0,0.0,10.410694958439382,0.0,565.0,565.0,18.989566654082324,5.318261797623168,0.0680830361311534,0.012802,0.27,21.676593847996585,0.0030109649709152,3.854560845351371e-05,,,,0.1225925925925925,0.0052195,0.659074074074074,0.0249101748270842,0.0059948196152633,0.3412172816146326,0.0368968779564806,0.0072532324187953,4.219507705176107,2.079441541679836,2.1400661634962708,0.3431372549019608,0.4090909090909091,0.0323097884615384,0.6923076923076923,0.0187551514080039,0.2,0.0495867768595041,0.3350854726998565,0.9020547214687548,0.5320122868220181,0.1265600974262118,1.0,0.2524408313364361,REPAIR,修复,0.6264047364133292,0.6681247166126216,0.2,0.7707818076923078,0.3041094429375095,3171.0,67.0,7.0,102.0,35.0,18.0,52.0,0.0,5.0,0.4,5.0,10.0,4.0,0.0959299252873563,0.0,,,,,,,,0.1011494252873563,0.0292275574112734,2.0,1.0,1.0,0.1390909090909091,0.0429215771860906,-64.5,0.0,-0.109813,-2.1379400073951693,4.905638512002485,0.5,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.86→1.00；竞价斜率+4.29pct/板；首封每板提前64分钟；炸板变化+0.0/板,13.0,13.0,4.0,1.0,0.2954545454545454,0.3823529411764705,170.0,2026-07-28T07:30:42+00:00,,,,0.37117340404079235,0.3703320339117901,0.36450269011963127,0.38806142149847195,8.232706009860976,5.480638923341991,0.016888017457679594,0.0008413701290022613,,,,,,,,,0.3,1.791759469228055,0.07499999999999994,-0.0246471573630224,-0.1262830962753022,0.1289752490714471,-0.03213981659949705,-0.017154498126547752,-0.1262830962753022,0.1289752490714471,0.340959762168516,0.40920150970105673,0.2977507131885012,0.09640376795382218,0.982276265819503,-0.003644967598633976,-0.03622423202918263,1,0,1,1,1,0,1,1,1,0,,nested_temporal_utility_v1,0.35,-0.05,0.05,0.9,-0.02,-0.036292279349335224,3,selection_policy_not_ready,5.0,0,0,20250331,387,4,109,0,0,0.0,1,0,0,,0.0,,,,,,2→3,5.15,7.5157,model_diagnostic_cap,False,4,4,13,1,2,高风险观察,仅观察,-0.017678433684244182,-0.03392381517404758,0.24232244746879855,0.5606436027524262,0.919719199057097,0.8526494710272446,-0.1310736645117386,-0.07348561149782395,-0.008220501920454376,-0.017124108536401367,2.0,0.5,2.0,1,1,1,learned_policy_pass,1,trade_selector_v2_nested_oos_top10_promotion_rank,1,5817b4066003c30ba8f36f9b95deec68c7061dd1a0cdbf5dabe9891ee77f10cb,20250604,258,3,40,0
15869,20250617,20250618,20250619,20250619,0,002015.SZ,协鑫能科,电力行业,3→4,1.0,11.78,12.69,12.78,249726320.64,tushare_stk_auction_o,14.06,0.0772495755517828,0.1079590228526401,0.1034590228526401,1,0,1,1,0,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,3.0,0.0,,,0.0999066293183938,0.0,0.0,11.830846588824146,0.0,565.0,565.0,19.95877814849923,3.3878095265178256,0.0243465007540872,0.007187,0.22,23.674145292381542,0.0007276654761137,5.2293695747225e-06,,,,0.6059933407325194,-0.0017525,0.416204217536071,0.0244124037242863,-8.005039370078731e-05,0.5023622047244094,0.0236220472440944,0.0154330708661417,4.07753744390572,2.639057329615259,1.4384801142904609,0.3695652173913043,0.4634146341463415,0.0103458507462686,0.582089552238806,0.0204068002498568,0.3846153846153846,0.0505651397977394,0.3312211491241671,0.8880408112219708,0.4933413967120331,-0.0386708901099849,1.0,-0.1652309875361967,NEUTRAL,震荡,0.4982032125984252,0.6060550722541209,0.3846153846153846,0.5949109253731344,0.2760816224439415,3175.0,58.0,13.0,92.0,34.0,19.0,67.0,0.3846153846153846,13.0,,0.0,13.0,3.0,0.1016591293183939,0.0,,,,,,,,0.0999066293183938,0.0772495755517828,3.0,1.0,1.0,0.0999999999999999,-0.0003291712165093,0.0,0.0,-0.0025825,-0.1757289511729727,0.9198180965426817,0.6666666666666666,0.0,0.0,0.0,0.0,STABLE_STRONG,持续强势,路径强度0.90→1.00；竞价斜率-0.03pct/板；首封每板推迟0分钟；炸板变化+0.0/板,5.0,9.0,3.0,1.0,0.1219512195121951,0.4583333333333333,72.0,2026-07-28T07:30:42+00:00,,,,0.5177031931756314,0.4998454381995778,0.5572903139935872,0.5070884064595784,7.239214973779806,4.543294782270004,-0.010614786716052982,0.01785775497605363,,,,,,,,,0.3333333333333333,1.6094379124341005,0.05999999999999994,-0.0246471573630224,-0.16542162727880907,0.15042142690763513,-0.03213981659949705,-0.017154498126547752,-0.16542162727880907,0.15042142690763513,0.340959762168516,0.43685822129677854,0.2977507131885012,0.12487359748868271,0.9979081323478217,-0.004727401890325241,-0.03624387022110349,1,0,1,1,1,0,1,1,1,0,,nested_temporal_utility_v1,0.35,-0.05,0.05,0.9,-0.02,-0.036292279349335224,3,selection_policy_not_ready,5.0,0,0,20250331,387,4,109,0,0,0.0,0,0,0,,0.0,,,,,,3→4,12.49,6.0272,model_diagnostic_cap,False,5,5,9,1,2,高风险观察,仅观察,-0.017678433684244182,-0.03392381517404758,0.3023573714649926,0.5682817668584282,0.8477658389750513,0.7621483874086084,-0.1310736645117386,-0.07448677365733967,-0.010257115586089256,-0.021517928132059792,1.0,0.5,1.0,1,1,1,learned_policy_pass,1,trade_selector_v2_nested_oos_top10_promotion_rank,1,5817b4066003c30ba8f36f9b95deec68c7061dd1a0cdbf5dabe9891ee77f10cb,20250604,258,3,40,0
