signal_date,stage,board,samples,hits
20211019,2.0,SZ_MAIN,4,1.0
20211020,2.0,SH_MAIN,1,0.0
20211020,2.0,SZ_MAIN,4,1.0
20211020,3.0,SH_MAIN,3,3.0
20211020,3.0,SZ_MAIN,1,1.0
20211021,2.0,SH_MAIN,2,0.0
20211021,2.0,SZ_MAIN,2,0.0
20211021,3.0,SZ_MAIN,1,1.0
20211022,2.0,SH_MAIN,1,0.0
20211022,2.0,SZ_MAIN,3,2.0
20211025,2.0,SH_MAIN,2,2.0
20211025,2.0,SZ_MAIN,1,0.0
20211025,3.0,SZ_MAIN,2,1.0
20211026,3.0,SH_MAIN,2,2.0
20211027,2.0,SH_MAIN,2,1.0
20211028,2.0,SZ_MAIN,2,1.0
20211028,3.0,SH_MAIN,1,0.0
20211029,2.0,SH_MAIN,2,1.0
20211029,2.0,SZ_MAIN,3,2.0
20211029,3.0,SZ_MAIN,1,0.0
20211101,2.0,SH_MAIN,8,1.0
20211101,2.0,SZ_MAIN,2,0.0
20211101,3.0,SH_MAIN,1,0.0
20211101,3.0,SZ_MAIN,2,0.0
20211102,2.0,SH_MAIN,5,0.0
20211102,2.0,SZ_MAIN,4,1.0
20211102,3.0,SH_MAIN,1,1.0
20211103,2.0,SZ_MAIN,1,1.0
20211103,3.0,SZ_MAIN,1,1.0
20211104,2.0,SH_MAIN,3,1.0
20211104,2.0,SZ_MAIN,4,2.0
20211104,3.0,SZ_MAIN,1,1.0
20211105,2.0,SH_MAIN,1,0.0
20211105,2.0,SZ_MAIN,8,3.0
20211105,3.0,SH_MAIN,1,0.0
20211105,3.0,SZ_MAIN,2,2.0
20211108,2.0,SH_MAIN,2,2.0
20211108,2.0,SZ_MAIN,1,0.0
20211108,3.0,SZ_MAIN,3,0.0
20211109,2.0,SH_MAIN,5,2.0
20211109,2.0,SZ_MAIN,3,1.0
20211109,3.0,SH_MAIN,2,1.0
20211110,2.0,SH_MAIN,2,0.0
20211110,2.0,SZ_MAIN,2,1.0
20211110,3.0,SH_MAIN,2,1.0
20211110,3.0,SZ_MAIN,1,1.0
20211111,2.0,SH_MAIN,2,0.0
20211111,2.0,SZ_MAIN,2,0.0
20211112,2.0,SH_MAIN,3,1.0
20211112,2.0,SZ_MAIN,6,2.0
20211115,2.0,SH_MAIN,5,2.0
20211115,2.0,SZ_MAIN,3,0.0
20211115,3.0,SH_MAIN,1,1.0
20211115,3.0,SZ_MAIN,2,1.0
20211116,2.0,SH_MAIN,3,0.0
20211116,2.0,SZ_MAIN,5,3.0
20211116,3.0,SH_MAIN,2,1.0
20211117,2.0,SH_MAIN,4,1.0
20211117,2.0,SZ_MAIN,2,0.0
20211117,3.0,SZ_MAIN,3,2.0
20211118,2.0,SH_MAIN,4,0.0
20211118,2.0,SZ_MAIN,4,0.0
20211118,3.0,SH_MAIN,1,1.0
20211119,2.0,SH_MAIN,3,0.0
20211119,2.0,SZ_MAIN,1,1.0
20211122,2.0,SH_MAIN,4,2.0
20211122,2.0,SZ_MAIN,5,0.0
20211122,3.0,SZ_MAIN,1,0.0
20211123,2.0,SH_MAIN,5,1.0
20211123,2.0,SZ_MAIN,3,0.0
20211123,3.0,SH_MAIN,2,1.0
20211124,2.0,SH_MAIN,1,0.0
20211124,2.0,SZ_MAIN,2,2.0
20211124,3.0,SH_MAIN,1,1.0
20211125,2.0,SH_MAIN,3,0.0
20211125,2.0,SZ_MAIN,4,1.0
20211125,3.0,SZ_MAIN,2,1.0
20211126,2.0,SH_MAIN,4,3.0
20211126,2.0,SZ_MAIN,3,0.0
20211126,3.0,SZ_MAIN,1,0.0
20211129,2.0,SH_MAIN,1,1.0
20211129,2.0,SZ_MAIN,4,1.0
20211129,3.0,SH_MAIN,3,2.0
20211130,2.0,SH_MAIN,5,1.0
20211130,2.0,SZ_MAIN,4,2.0
20211130,3.0,SH_MAIN,1,1.0
20211130,3.0,SZ_MAIN,1,1.0
20211201,2.0,SH_MAIN,3,1.0
20211201,2.0,SZ_MAIN,5,3.0
20211201,3.0,SH_MAIN,1,1.0
20211201,3.0,SZ_MAIN,2,0.0
20211202,2.0,SH_MAIN,4,1.0
20211202,2.0,SZ_MAIN,6,0.0
20211202,3.0,SH_MAIN,1,0.0
20211202,3.0,SZ_MAIN,3,1.0
20211203,2.0,SH_MAIN,3,1.0
20211203,2.0,SZ_MAIN,4,0.0
20211203,3.0,SH_MAIN,1,1.0
20211206,2.0,SH_MAIN,1,0.0
20211206,2.0,SZ_MAIN,2,0.0
20211206,3.0,SH_MAIN,1,1.0
20211207,2.0,SH_MAIN,5,3.0
20211207,2.0,SZ_MAIN,3,2.0
20211208,2.0,SH_MAIN,1,0.0
20211208,2.0,SZ_MAIN,3,0.0
20211208,3.0,SH_MAIN,3,2.0
20211208,3.0,SZ_MAIN,2,2.0
20211209,2.0,SH_MAIN,2,0.0
20211209,2.0,SZ_MAIN,8,3.0
20211210,2.0,SH_MAIN,3,1.0
20211210,2.0,SZ_MAIN,3,3.0
20211210,3.0,SZ_MAIN,3,1.0
20211213,2.0,SH_MAIN,4,3.0
20211213,2.0,SZ_MAIN,4,3.0
20211213,3.0,SH_MAIN,1,1.0
20211213,3.0,SZ_MAIN,3,2.0
20211214,2.0,SH_MAIN,7,4.0
20211214,2.0,SZ_MAIN,6,4.0
20211214,3.0,SH_MAIN,3,1.0
20211214,3.0,SZ_MAIN,3,1.0
20211215,2.0,SH_MAIN,2,2.0
20211215,2.0,SZ_MAIN,6,2.0
20211215,3.0,SH_MAIN,4,3.0
20211215,3.0,SZ_MAIN,4,3.0
20211216,2.0,SH_MAIN,8,4.0
20211216,2.0,SZ_MAIN,6,2.0
20211216,3.0,SH_MAIN,2,1.0
20211216,3.0,SZ_MAIN,2,2.0
20211217,2.0,SH_MAIN,3,3.0
20211217,2.0,SZ_MAIN,9,4.0
20211217,3.0,SH_MAIN,4,4.0
20211217,3.0,SZ_MAIN,2,2.0
20211220,2.0,SH_MAIN,7,3.0
20211220,2.0,SZ_MAIN,12,10.0
20211220,3.0,SH_MAIN,3,1.0
20211220,3.0,SZ_MAIN,4,3.0
20211221,2.0,SH_MAIN,6,2.0
20211221,2.0,SZ_MAIN,14,3.0
20211221,3.0,SH_MAIN,3,0.0
20211221,3.0,SZ_MAIN,10,5.0
20211222,2.0,SH_MAIN,2,1.0
20211222,2.0,SZ_MAIN,9,2.0
20211222,3.0,SH_MAIN,2,0.0
20211222,3.0,SZ_MAIN,3,1.0
20211223,2.0,SH_MAIN,5,1.0
20211223,2.0,SZ_MAIN,3,1.0
20211223,3.0,SH_MAIN,1,0.0
20211223,3.0,SZ_MAIN,2,1.0
20211224,2.0,SH_MAIN,2,2.0
20211224,2.0,SZ_MAIN,2,1.0
20211224,3.0,SH_MAIN,1,0.0
20211224,3.0,SZ_MAIN,1,1.0
20211227,2.0,SH_MAIN,4,1.0
20211227,2.0,SZ_MAIN,5,3.0
20211227,3.0,SH_MAIN,2,1.0
20211227,3.0,SZ_MAIN,1,0.0
20211228,2.0,SH_MAIN,5,4.0
20211228,3.0,SH_MAIN,1,1.0
20211228,3.0,SZ_MAIN,3,3.0
20211229,2.0,SH_MAIN,4,3.0
20211229,2.0,SZ_MAIN,4,3.0
20211229,3.0,SH_MAIN,4,2.0
20211230,2.0,SH_MAIN,3,1.0
20211230,2.0,SZ_MAIN,10,4.0
20211230,3.0,SH_MAIN,3,1.0
20211230,3.0,SZ_MAIN,3,1.0
20211231,2.0,SH_MAIN,5,3.0
20211231,2.0,SZ_MAIN,4,2.0
20211231,3.0,SH_MAIN,1,0.0
20211231,3.0,SZ_MAIN,4,3.0
20220104,2.0,SH_MAIN,10,3.0
20220104,2.0,SZ_MAIN,6,0.0
20220104,3.0,SH_MAIN,3,0.0
20220104,3.0,SZ_MAIN,2,0.0
20220105,2.0,SH_MAIN,4,3.0
20220105,2.0,SZ_MAIN,10,1.0
20220105,3.0,SH_MAIN,3,2.0
20220106,2.0,SH_MAIN,3,2.0
20220106,2.0,SZ_MAIN,4,0.0
20220106,3.0,SH_MAIN,3,3.0
20220106,3.0,SZ_MAIN,1,0.0
20220107,2.0,SH_MAIN,3,1.0
20220107,2.0,SZ_MAIN,4,3.0
20220107,3.0,SH_MAIN,2,0.0
20220110,2.0,SH_MAIN,4,1.0
20220110,2.0,SZ_MAIN,5,2.0
20220110,3.0,SH_MAIN,1,0.0
20220110,3.0,SZ_MAIN,3,2.0
20220111,2.0,SH_MAIN,1,0.0
20220111,2.0,SZ_MAIN,3,1.0
20220111,3.0,SH_MAIN,1,1.0
