ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
002980.SZ,20260730,华盛昌,63.53,-10.0014,7.73,2012172961.0,563578348.36,526910598.04,1090488946.4,-36667750.32,-1.82,54.19,6434765905.32,连续三个交易日内，跌幅偏离值累计达到20%的证券
003032.SZ,20260730,传智教育,8.01,10.0275,8.8,274587189.0,54067976.0,69853222.28,123921198.28,15785246.28,5.75,45.13,2278697680.08,连续三个交易日内，涨幅偏离值累计达到20%的证券
300164.SZ,20260730,通源石油,11.94,10.5556,32.76,2205472651.0,171337197.57,223997547.94,395334745.51,52660350.37,2.39,17.93,6963536689.32,日换手率达到30%的前5只证券
300169.SZ,20260730,天晟新材,5.47,1.6729,19.43,612192210.0,91055331.24,81567378.85,172622710.09,-9487952.39,-1.55,28.2,1650494727.54,连续三个交易日内，涨幅偏离值累计达到30%的证券
300290.SZ,20260730,ST荣科,5.04,9.0909,11.5,973565492.0,109643282.92,93031592.51,202674875.43,-16611690.41,-1.71,20.82,3223293917.76,连续三个交易日内，涨幅偏离值累计达到30%的证券
300458.SZ,20260730,全志科技,31.82,-19.9295,18.47,5267680643.0,712065423.58,757298553.4,1469363976.98,45233129.82,0.86,27.89,25908086627.5,日跌幅达到15%的前5只证券
300489.SZ,20260730,光智科技,125.61,-16.0754,8.15,1497476862.0,544975132.0,415949076.0,960924208.0,-129026056.0,-8.62,64.17,17415635698.41,日跌幅达到15%的前5只证券
300534.SZ,20260730,陇神戎发,13.37,1.2112,34.58,1479282963.0,253106143.0,112577002.0,365683145.0,-140529141.0,-9.5,24.72,4038428394.56,日换手率达到30%的前5只证券
300663.SZ,20260730,科蓝软件,9.32,2.193,24.72,2964984152.0,310302107.2,331877247.55,642179354.75,21575140.35,0.73,21.66,4290816225.24,连续三个交易日内，涨幅偏离值累计达到30%的证券
300894.SZ,20260730,火星人,11.8,20.0407,6.7,219274376.0,24206529.55,58717512.8,82924042.35,34510983.25,15.74,37.82,3470134689.8,日涨幅达到15%的前5只证券
300894.SZ,20260730,火星人,11.8,20.0407,6.7,356951004.0,49458945.55,89253148.54,138712094.09,39794202.99,11.15,38.86,3470134689.8,连续三个交易日内，涨幅偏离值累计达到30%的证券
300903.SZ,20260730,科翔股份,45.27,-15.9488,10.07,1617808394.0,474531416.93,402928220.91,877459637.84,-71603196.02,-4.43,54.24,14970227787.81,日跌幅达到15%的前5只证券
300981.SZ,20260730,中红医疗,14.18,10.3502,11.7,713122682.0,83841143.12,84336584.58,168177727.7,495441.46,0.07,23.58,5572702834.22,连续三个交易日内，涨幅偏离值累计达到30%的证券
300996.SZ,20260730,普联软件,15.52,20.0309,14.03,704744286.0,66311101.64,113727086.84,180038188.48,47415985.2,6.73,25.55,5170368558.08,日涨幅达到15%的前5只证券
