trade_date,ts_code,name,industry,is_hot_board,board_rank,board_limit_up_count,is_st_like
20260701,000004.SZ,国华退,软件开发,0,,,0
20260701,000068.SZ,华控赛格,环境治理,0,,,0
20260701,000520.SZ,凤凰航运,航运港口,0,,,0
20260701,000521.SZ,长虹美菱,白色家电,0,,,0
20260701,000536.SZ,华映科技,光学光电,0,,,0
20260701,000545.SZ,金浦钛业,化学原料,0,,,0
20260701,000566.SZ,海南海药,化学制药,1,2.0,8.0,0
20260701,000601.SZ,韶能股份,电力,0,,,0
20260701,000603.SZ,盛达资源,贵金属,0,,,0
20260701,000620.SZ,盈新发展,房地产开发,1,7.0,5.0,0
20260701,000733.SZ,振华科技,军工电子,0,,,0
20260701,000757.SZ,浩物股份,汽车服务,0,,,0
20260701,000795.SZ,英洛华,金属新材,0,,,0
20260701,000863.SZ,三湘印象,房地产开发,1,7.0,5.0,0
20260701,000876.SZ,新 希 望,养殖业,1,5.0,5.0,0
20260701,000925.SZ,众合科技,轨交设备,0,,,0
20260701,001256.SZ,炜冈科技,专用设备,1,10.0,4.0,0
20260701,001269.SZ,欧晶科技,光伏设备,0,,,0
20260701,001313.SZ,粤海饲料,饲料,0,,,0
20260701,001331.SZ,胜通能源,燃气Ⅱ,0,,,0
20260701,001365.SZ,天海电子,汽车零部件,1,8.0,5.0,0
20260701,002052.SZ,同洲电子,黑色家电,0,,,0
20260701,002053.SZ,云南能投,电力,0,,,0
20260701,002123.SZ,梦网科技,通信服务,0,,,0
20260701,002124.SZ,天邦食品,养殖业,1,5.0,5.0,0
20260701,002161.SZ,远 望 谷,其他电子,0,,,0
20260701,002167.SZ,东方锆业,小金属,0,,,0
20260701,002184.SZ,海得控制,自动化设,1,9.0,5.0,0
20260701,002200.SZ,交投生态,基础建设,0,,,0
20260701,002232.SZ,启明信息,IT服务Ⅱ,1,3.0,5.0,0
20260701,002268.SZ,电科网安,计算机设,0,,,0
20260701,002273.SZ,水晶光电,光学光电,0,,,0
20260701,002277.SZ,友阿股份,一般零售,1,4.0,5.0,0
20260701,002313.SZ,日海智能,通信设备,0,,,0
20260701,002326.SZ,永太科技,化学制品,1,1.0,11.0,0
20260701,002329.SZ,皇氏集团,饮料乳品,0,,,0
20260701,002396.SZ,星网锐捷,通信设备,0,,,0
20260701,002403.SZ,爱仕达,小家电,0,,,0
20260701,002407.SZ,多氟多,化学制品,1,1.0,11.0,0
20260701,002423.SZ,中粮资本,多元金融,0,,,0
20260701,002440.SZ,闰土股份,化学制品,1,1.0,11.0,0
20260701,002442.SZ,龙星科技,橡胶,0,,,0
20260701,002455.SZ,百川股份,化学制品,1,1.0,11.0,0
20260701,002458.SZ,益生股份,养殖业,1,5.0,5.0,0
20260701,002468.SZ,申通快递,物流,0,,,0
20260701,002524.SZ,光正眼科,医疗服务,0,,,0
20260701,002548.SZ,金新农,饲料,0,,,0
20260701,002559.SZ,亚威股份,通用设备,0,,,0
