ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
002282.SZ,20260609,0.5356,0.7886,0.55,325586.0991,
300581.SZ,20260609,1.216,2.3308,0.85,573764.2565,
688795.SH,20260609,6.9554,6.9554,0.73,28948567.8568,
003013.SZ,20260609,0.931,4.1865,0.73,722468.232,
600406.SH,20260609,0.6712,1.5635,0.67,18505166.1834,
300401.SZ,20260609,1.7304,2.4798,1.0,601859.3891,
601636.SH,20260609,6.0212,9.5761,1.13,2127272.0304,
600825.SH,20260609,3.1016,6.3938,2.6,548566.1213,
300599.SZ,20260609,6.8988,13.4745,1.39,483119.4839,
601975.SH,20260609,5.4469,7.8675,0.93,1928302.0073,
603102.SH,20260609,0.7655,1.366,0.96,223040.0,
605566.SH,20260609,4.6291,10.5593,0.69,566695.0,
000850.SZ,20260609,0.7574,1.4134,0.77,357649.0384,
300085.SZ,20260609,8.2507,12.2163,0.66,2006859.1194,
603917.SH,20260609,2.1873,3.2846,0.81,245423.36,
605003.SH,20260609,0.9863,3.7008,1.02,261030.0,
301528.SZ,20260609,9.0885,13.4841,0.81,537353.9,
601311.SH,20260609,0.9874,1.6357,0.84,957287.2323,
600611.SH,20260609,5.408,7.7555,1.22,1059127.0431,
002479.SZ,20260609,1.5592,2.4012,0.58,429905.0,
002887.SZ,20260609,1.3211,2.5931,0.65,380342.8528,
000698.SZ,20260609,0.4544,0.8256,1.02,272078.7791,
002544.SZ,20260609,2.076,3.2189,0.98,1331804.8227,
002190.SZ,20260609,0.8549,1.7517,0.76,902921.7563,
002546.SZ,20260609,1.4592,2.3632,0.78,572991.729,
300436.SZ,20260609,3.4412,5.4632,0.65,1398523.527,
300616.SZ,20260609,7.1405,8.0989,1.57,327568.8148,
600527.SH,20260609,3.5003,4.9919,0.76,412159.0947,
688308.SH,20260609,6.2411,8.2399,0.85,2465721.1435,
301228.SZ,20260609,4.9366,10.8122,1.07,961200.0,
688411.SH,20260609,3.5949,4.243,0.68,4597861.8672,
002681.SZ,20260609,4.4127,4.7095,0.71,933219.1606,
300908.SZ,20260609,1.1452,2.3406,1.0,347334.0,
300968.SZ,20260609,2.2518,4.8092,0.74,458025.04,
920187.BJ,20260609,1.5299,1.5336,0.63,197698.8,
920685.BJ,20260609,0.5341,0.6419,0.65,105700.9119,
603655.SH,20260609,1.5988,4.9408,1.24,362308.0,
300044.SZ,20260609,1.7657,1.8482,0.74,436169.3292,
603610.SH,20260609,2.8383,6.5419,0.83,623030.2111,
688658.SH,20260609,2.7285,4.8952,0.62,612900.0,
301501.SZ,20260609,1.6193,1.6193,0.51,400661.1,
002278.SZ,20260609,3.9349,5.3784,1.31,339263.4389,
000922.SZ,20260609,1.7986,2.8272,0.89,1032469.9438,
688208.SH,20260609,1.9181,3.0753,0.73,1983743.9237,
002131.SZ,20260609,4.2066,4.4221,0.88,3758337.1802,
300428.SZ,20260609,1.7184,4.0055,1.25,1321801.2342,
002393.SZ,20260609,0.4796,1.0085,0.81,436257.4716,
000859.SZ,20260609,10.5415,14.8712,1.38,1000805.4947,
002269.SZ,20260609,1.8089,2.9289,0.84,381900.0,
000523.SZ,20260609,1.0823,2.923,0.64,541463.196,
300146.SZ,20260609,0.7584,0.9012,0.72,1588484.7321,
600712.SH,20260609,1.002,1.4095,0.7,297381.8266,
000831.SZ,20260609,6.2363,10.0644,1.4,5891897.9205,
300151.SZ,20260609,5.9674,6.9184,0.81,1227434.3099,
301301.SZ,20260609,1.0503,1.0503,0.79,1868811.23,
301508.SZ,20260609,1.9644,1.9644,0.77,566343.426,
000639.SZ,20260609,3.3375,4.173,0.66,160834.7862,
600202.SH,20260609,2.2481,3.4077,0.78,195887.0834,
300088.SZ,20260609,14.1721,15.91,0.99,2135562.21,
002728.SZ,20260609,1.2913,2.1417,0.85,425020.5243,
603318.SH,20260609,8.0254,14.0301,0.87,470362.8889,
002990.SZ,20260609,3.113,4.953,0.64,1179905.7338,
920019.BJ,20260609,2.5772,7.4102,0.78,412543.2654,
600722.SH,20260609,8.1015,18.4299,1.99,645623.3725,
603899.SH,20260609,0.6192,1.7017,0.88,2017846.096,
603815.SH,20260609,1.6361,3.2875,0.56,355881.4351,
600059.SH,20260609,1.0801,1.7566,1.32,713737.7094,
603536.SH,20260609,1.5261,3.4403,0.67,217415.5597,
920022.BJ,20260609,1.6247,1.6247,0.59,142116.276,
603067.SH,20260609,4.1553,6.3978,0.83,2601273.966,
600337.SH,20260609,1.2296,2.2892,0.55,459839.4038,
603341.SH,20260609,4.0058,4.0058,0.51,1907455.8506,
301059.SZ,20260609,2.218,6.9501,1.26,327776.372,
301683.SZ,20260609,11.4803,11.4803,0.62,841278.4956,
920218.BJ,20260609,28.2171,28.2171,0.68,253099.6905,
002268.SZ,20260609,0.8835,1.3911,0.81,1132306.7151,
603579.SH,20260609,1.2144,2.4248,0.88,375766.8683,
001391.SZ,20260609,0.4884,0.4884,0.62,6006769.5627,
300219.SZ,20260609,8.8328,13.7355,1.05,634317.3814,
301587.SZ,20260609,4.8454,5.2726,0.69,363458.2747,
000657.SZ,20260609,5.516,8.9617,0.82,16132519.152,
600350.SH,20260609,0.1489,1.1259,0.81,5603267.5862,
002571.SZ,20260609,4.2075,6.0846,0.81,493073.9806,
600812.SH,20260609,0.5567,1.2373,0.75,744626.9806,
300840.SZ,20260609,4.897,5.4977,1.02,531360.0,
002194.SZ,20260609,12.3432,15.5335,1.19,821992.8246,
688315.SH,20260609,0.5539,1.5389,0.76,538979.0,
000403.SZ,20260609,1.3357,2.1594,0.77,1125270.505,
600810.SH,20260609,4.0159,11.1535,2.51,687064.6976,
603015.SH,20260609,3.23,6.4461,0.89,527101.576,
300603.SZ,20260609,3.7223,4.0205,0.8,406698.4521,
