ts_code,trade_date,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,intraday_vwap,intraday_vwap_position,late_volume_ratio,late_price_change_pct,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag
000428.SZ,20260907,1min,241,1,09:47:00,15:00:00,1,0,4.0698,0,,0.0,40.5814,5.0048,3.1006,0.088558,0.0,0.0,31,0.0,70.0,68.6744,8.25,neutral_limitup
000735.SZ,20260907,1min,241,1,09:30:00,15:00:00,1,0,1.7804,0,,0.0,54.3175,6.7329,0.1059,0.042403,0.0,0.0,31,0.0,70.0,72.7953,8.25,neutral_limitup
000759.SZ,20260907,1min,241,1,09:45:00,15:00:00,2,1,1.5714,1,4.0,90.0,75.0714,6.8626,2.0018,0.006288,0.0,0.0,31,0.0,78.0,82.6214,13.5,healthy_limitup
000798.SZ,20260907,1min,241,1,09:34:00,15:00:00,1,0,1.0762,0,,0.0,58.5426,10.8857,2.4283,0.010535,0.0,0.0,31,0.0,70.0,74.0628,8.25,neutral_limitup
000816.SZ,20260907,1min,241,1,09:59:00,15:00:00,1,0,4.3077,0,,0.0,39.1538,3.21,1.2458,0.021263,0.0,0.0,31,0.0,70.0,68.2462,8.25,neutral_limitup
000823.SZ,20260907,1min,241,1,09:35:00,15:00:00,1,0,1.1292,0,,0.0,58.2246,15.7035,1.5057,0.010297,0.0,0.0,31,0.0,70.0,73.9674,8.25,neutral_limitup
000978.SZ,20260907,1min,241,1,09:53:00,15:00:00,1,2,4.533,2,1.0,100.0,48.8022,7.1267,2.1509,0.008516,0.0,0.0,31,0.0,70.0,71.1407,19.9,neutral_limitup
001229.SZ,20260907,1min,241,1,10:44:00,15:00:00,1,0,1.6457,0,,0.0,55.126,37.6093,3.4054,0.007164,0.0,0.0,31,0.0,57.0,67.1878,10.2,neutral_limitup
001267.SZ,20260907,1min,241,1,10:37:00,15:00:00,2,1,2.325,1,23.0,42.0,53.7501,37.8772,2.1988,0.008992,0.0,0.0,31,0.0,55.4,66.055,28.89,neutral_limitup
001296.SZ,20260907,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,22.0,0.0,0.013794,0.0,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
