trade_date,industry,limit_up_count,rank
20260428,化工原料,4,1
20260428,专用机械,3,2
20260428,化学制药,3,3
20260428,建筑工程,3,4
20260428,环境保护,3,5
20260428,电气设备,3,6
20260428,装修装饰,3,7
20260428,通信设备,3,8
20260428,供气供热,2,9
20260428,元器件,2,10
